date,amount,category,merchant
2018-01-01,11.11,Shopping,Amazon
2018-01-02,1247.44,Mortgage & Rent,Mortgage Payment
2018-01-02,24.22,Restaurants,Thai Restaurant
2018-01-04,11.76,Movies & DVDs,Netflix
2018-01-05,25.85,Restaurants,American Tavern
2018-01-06,18.45,Home Improvement,Hardware Store
2018-01-08,45.0,Utilities,Gas Company
2018-01-08,15.38,Home Improvement,Hardware Store
2018-01-09,10.69,Music,Spotify
2018-01-10,89.46,Mobile Phone,Phone Company
2018-01-11,34.87,Gas & Fuel,Shell
2018-01-11,43.54,Groceries,Grocery Store
2018-01-13,32.91,Fast Food,Pizza Place
2018-01-13,39.05,Shopping,Amazon
2018-01-15,44.19,Groceries,Grocery Store
2018-01-15,64.11,Restaurants,American Tavern
2018-01-16,35.0,Utilities,City Water Charges
2018-01-16,60.0,Utilities,Power Company
2018-01-20,50.21,Shopping,Amazon
2018-01-22,554.99,Credit Card Payment,Credit Card Payment
2018-01-22,17.38,Home Improvement,Hardware Store
2018-01-23,309.81,Credit Card Payment,Credit Card Payment
2018-01-24,3.0,Coffee Shops,Starbucks
2018-01-25,69.99,Internet,Internet Service Provider
2018-01-29,30.42,Gas & Fuel,Shell
2018-01-29,25.0,Restaurants,Thai Restaurant
2018-01-29,17.62,Restaurants,Brunch Restaurant
2018-02-01,27.79,Groceries,Grocery Store
2018-02-01,11.11,Shopping,Amazon
2018-02-02,1247.44,Mortgage & Rent,Mortgage Payment
2018-02-03,57.02,Restaurants,Japanese Restaurant
2018-02-04,11.76,Movies & DVDs,Netflix
2018-02-07,154.13,Credit Card Payment,Credit Card Payment
2018-02-07,65.0,Utilities,Gas Company
2018-02-09,30.0,Haircut,Barbershop
2018-02-09,10.69,Music,Spotify
2018-02-10,10.66,Fast Food,Bojangles
2018-02-11,106.8,Restaurants,Fancy Restaurant
2018-02-12,36.47,Gas & Fuel,Shell
2018-02-12,89.52,Mobile Phone,Phone Company
2018-02-14,14.0,Alcohol & Bars,Brewing Company
2018-02-15,10.0,Restaurants,American Tavern
2018-02-15,60.0,Utilities,Power Company
2018-02-16,8.0,Restaurants,Brunch Restaurant
2018-02-16,35.0,Utilities,City Water Charges
2018-02-20,35.95,Groceries,Grocery Store
2018-02-20,23.51,Restaurants,Mexican Restaurant
2018-02-21,2.0,Coffee Shops,Starbucks
2018-02-22,4.0,Coffee Shops,Starbucks
2018-02-26,765.37,Credit Card Payment,Credit Card Payment
2018-02-26,74.99,Internet,Internet Service Provider
2018-02-26,85.52,Restaurants,American Tavern
2018-02-26,32.21,Gas & Fuel,Gas Station
2018-02-27,156.11,Credit Card Payment,Credit Card Payment
2018-03-01,32.07,Groceries,Grocery Store
2018-03-01,13.13,Shopping,Amazon
2018-03-02,1247.44,Mortgage & Rent,Mortgage Payment
2018-03-03,23.74,Groceries,Grocery Store
2018-03-04,10.69,Groceries,Grocery Store
2018-03-04,11.76,Movies & DVDs,Netflix
2018-03-04,42.24,Restaurants,BBQ Restaurant
2018-03-05,3.0,Coffee Shops,Starbucks
2018-03-05,761.59,Credit Card Payment,Credit Card Payment
2018-03-07,3.5,Coffee Shops,Starbucks
2018-03-08,34.9,Gas & Fuel,BP
2018-03-08,52.0,Utilities,Gas Company
2018-03-09,20.72,Groceries,Grocery Store
2018-03-09,5.09,Groceries,Grocery Store
2018-03-09,10.69,Music,Spotify
2018-03-12,19.35,Groceries,Grocery Store
2018-03-12,89.52,Mobile Phone,Phone Company
2018-03-13,45.75,Shopping,Amazon
2018-03-14,22.5,Groceries,Grocery Store
2018-03-14,8.49,Restaurants,Brunch Restaurant
2018-03-15,3.5,Coffee Shops,Starbucks
2018-03-15,60.0,Utilities,Power Company
2018-03-17,19.5,Alcohol & Bars,Brewing Company
2018-03-17,23.34,Fast Food,Pizza Place
2018-03-19,36.48,Restaurants,Mediterranean Restaurant
2018-03-19,35.0,Utilities,City Water Charges
2018-03-20,14.97,Shopping,Amazon
2018-03-22,30.55,Gas & Fuel,BP
2018-03-23,559.91,Credit Card Payment,Credit Card Payment
2018-03-23,11.76,Groceries,Grocery Store
2018-03-26,74.99,Internet,Internet Service Provider
2018-03-28,16.06,Groceries,Grocery Store
2018-03-28,24.98,Restaurants,Pizza Place
2018-03-29,17.64,Restaurants,Steakhouse
2018-03-30,9.09,Groceries,Grocery Store
2018-03-31,38.32,Restaurants,Belgian Restaurant
2018-03-31,24.74,Restaurants,Chili's
2018-03-31,41.16,Restaurants,Greek Restaurant
2018-04-01,80.79,Groceries,Grocery Store
